id,video_name,label,person,frame_count
932,1.MOV,Bạn bè,person_01,43
933,10.MOV,Bạn bè,person_01,42
934,2.MOV,Bạn bè,person_01,45
935,3.MOV,Bạn bè,person_01,46
936,4.MOV,Bạn bè,person_01,48
937,5.MOV,Bạn bè,person_01,45
938,6.MOV,Bạn bè,person_01,36
939,7.MOV,Bạn bè,person_01,32
940,8.MOV,Bạn bè,person_01,34
941,9.MOV,Bạn bè,person_01,56
942,friend_001.MOV,Bạn bè,person_01,56
943,friend_002.MOV,Bạn bè,person_01,43
944,friend_003.MOV,Bạn bè,person_01,58
945,friend_004.MOV,Bạn bè,person_01,53
946,friend_005.MOV,Bạn bè,person_01,33
947,friend_006.MOV,Bạn bè,person_01,54
697,1.MOV,Bố,person_01,24
698,10.MOV,Bố,person_01,22
699,2.MOV,Bố,person_01,22
700,3.MOV,Bố,person_01,22
701,4.MOV,Bố,person_01,22
702,5.MOV,Bố,person_01,21
703,6.MOV,Bố,person_01,23
704,7.MOV,Bố,person_01,28
705,8.MOV,Bố,person_01,20
706,9.MOV,Bố,person_01,27
707,dad_001.MOV,Bố,person_01,20
708,dad_002.MOV,Bố,person_01,28
709,dad_003.MOV,Bố,person_01,30
710,dad_004.MOV,Bố,person_01,34
711,dad_005.MOV,Bố,person_01,23
693,7912585322712.mp4,Có,person_01,42
694,7912585588402.mp4,Có,person_01,37
1,91.MOV,Có,person_01,35
2,93.MOV,Có,person_01,42
3,95.MOV,Có,person_01,33
4,97.MOV,Có,person_01,44
5,98.MOV,Có,person_01,34
6,99.MOV,Có,person_01,30
7,yes_001.MOV,Có,person_01,27
8,yes_002.MOV,Có,person_01,46
9,yes_003.MOV,Có,person_01,44
10,yes_004.MOV,Có,person_01,38
11,yes_005.MOV,Có,person_01,33
12,51.MOV,Cảm ơn,person_01,51
13,54.MOV,Cảm ơn,person_01,48
14,56.MOV,Cảm ơn,person_01,44
15,57.MOV,Cảm ơn,person_01,64
16,58.MOV,Cảm ơn,person_01,41
695,7912585361670.mp4,Cảm ơn,person_01,55
696,7912585594265.mp4,Cảm ơn,person_01,60
17,thanks_001.MOV,Cảm ơn,person_01,52
18,thanks_002.MOV,Cảm ơn,person_01,58
20,thanks_004.MOV,Cảm ơn,person_01,60
21,thanks_005.MOV,Cảm ơn,person_01,51
712,1.MOV,Hiểu,person_01,25
713,10.MOV,Hiểu,person_01,31
714,2.MOV,Hiểu,person_01,29
715,3.MOV,Hiểu,person_01,35
716,4.MOV,Hiểu,person_01,37
717,5.MOV,Hiểu,person_01,26
718,6.MOV,Hiểu,person_01,29
719,7.MOV,Hiểu,person_01,29
720,8.MOV,Hiểu,person_01,27
721,9.MOV,Hiểu,person_01,27
722,understand_001.MOV,Hiểu,person_01,17
22,71.MOV,Hạnh phúc,person_01,47
23,72.MOV,Hạnh phúc,person_01,47
24,73.MOV,Hạnh phúc,person_01,49
25,74.MOV,Hạnh phúc,person_01,45
26,75.MOV,Hạnh phúc,person_01,47
27,76.MOV,Hạnh phúc,person_01,51
28,77.MOV,Hạnh phúc,person_01,49
29,78.MOV,Hạnh phúc,person_01,44
30,79.MOV,Hạnh phúc,person_01,34
578,7912585665651.mp4,Hạnh phúc,person_01,50
579,7912585726327.mp4,Hạnh phúc,person_01,55
31,80.MOV,Hạnh phúc,person_01,37
32,happy_001.MOV,Hạnh phúc,person_01,39
723,1.MOV,Học,person_01,27
724,10.MOV,Học,person_01,30
725,2.MOV,Học,person_01,24
726,3.MOV,Học,person_01,30
727,4.MOV,Học,person_01,26
728,5.MOV,Học,person_01,25
729,6.MOV,Học,person_01,28
730,7.MOV,Học,person_01,26
731,8.MOV,Học,person_01,37
732,9.MOV,Học,person_01,34
733,learn_001.MOV,Học,person_01,30
33,41.MOV,Không,person_01,48
34,42.MOV,Không,person_01,50
35,43.MOV,Không,person_01,52
36,44.MOV,Không,person_01,52
37,45.MOV,Không,person_01,47
38,46.MOV,Không,person_01,43
39,47.MOV,Không,person_01,53
40,48.MOV,Không,person_01,48
41,49.MOV,Không,person_01,44
42,50.MOV,Không,person_01,44
580,7912585767155.mp4,Không,person_01,86
581,7912585850011.mp4,Không,person_01,121
734,1.MOV,Thích,person_01,47
736,2.MOV,Thích,person_01,41
737,3.MOV,Thích,person_01,39
738,4.MOV,Thích,person_01,47
739,5.MOV,Thích,person_01,45
740,6.MOV,Thích,person_01,45
741,7.MOV,Thích,person_01,46
742,8.MOV,Thích,person_01,50
743,9.MOV,Thích,person_01,45
744,like_001.MOV,Thích,person_01,42
582,7912585442972.mp4,Tôi,person_01,39
583,7912585609868.mp4,Tôi,person_01,29
44,81.MOV,Tôi,person_01,30
45,82.MOV,Tôi,person_01,38
46,83.MOV,Tôi,person_01,35
47,84.MOV,Tôi,person_01,32
48,85.MOV,Tôi,person_01,33
49,86.MOV,Tôi,person_01,27
50,87.MOV,Tôi,person_01,25
51,88.MOV,Tôi,person_01,26
52,89.MOV,Tôi,person_01,23
53,90.MOV,Tôi,person_01,25
54,me_001.MOV,Tôi,person_01,24
55,01.MOV,Tạm biệt,person_01,49
56,02.MOV,Tạm biệt,person_01,61
57,03.MOV,Tạm biệt,person_01,48
58,04.MOV,Tạm biệt,person_01,47
59,05.MOV,Tạm biệt,person_01,69
60,06.MOV,Tạm biệt,person_01,53
61,07.MOV,Tạm biệt,person_01,46
62,08.MOV,Tạm biệt,person_01,55
63,09.MOV,Tạm biệt,person_01,47
64,10.MOV,Tạm biệt,person_01,37
584,7912585073522.mp4,Tạm biệt,person_01,42
585,7912585260583.mp4,Tạm biệt,person_01,42
65,goodbye_001.MOV,Tạm biệt,person_01,34
66,31.MOV,Uống,person_01,34
67,32.MOV,Uống,person_01,34
68,33.MOV,Uống,person_01,36
69,34.MOV,Uống,person_01,32
70,35.MOV,Uống,person_01,33
71,36.MOV,Uống,person_01,29
72,37.MOV,Uống,person_01,29
73,38.MOV,Uống,person_01,26
74,39.MOV,Uống,person_01,58
75,40.MOV,Uống,person_01,30
586,7912585401111.mp4,Uống,person_01,44
587,7912585513514.mp4,Uống,person_01,47
76,drink_001.MOV,Uống,person_01,27
77,11.MOV,Xin chào,person_01,53
78,12.MOV,Xin chào,person_01,40
79,13.MOV,Xin chào,person_01,45
80,14.MOV,Xin chào,person_01,52
81,15.MOV,Xin chào,person_01,49
82,16.MOV,Xin chào,person_01,46
83,17.MOV,Xin chào,person_01,46
84,18.MOV,Xin chào,person_01,32
85,19.MOV,Xin chào,person_01,28
86,20.MOV,Xin chào,person_01,50
588,7912584984887.mp4,Xin chào,person_01,52
589,7912585282669.mp4,Xin chào,person_01,44
87,hello_001.MOV,Xin chào,person_01,11
88,21.MOV,Xin lỗi,person_01,60
89,22.MOV,Xin lỗi,person_01,63
90,23.MOV,Xin lỗi,person_01,62
91,24.MOV,Xin lỗi,person_01,67
92,25.MOV,Xin lỗi,person_01,83
93,26.MOV,Xin lỗi,person_01,69
94,27.MOV,Xin lỗi,person_01,54
95,28.MOV,Xin lỗi,person_01,72
96,29.MOV,Xin lỗi,person_01,50
97,30.MOV,Xin lỗi,person_01,67
590,7912585102713.mp4,Xin lỗi,person_01,58
591,7912585116783.mp4,Xin lỗi,person_01,47
98,sorry_001.MOV,Xin lỗi,person_01,28
99,61.MOV,Ăn,person_01,33
100,62.MOV,Ăn,person_01,26
101,63.MOV,Ăn,person_01,22
102,64.MOV,Ăn,person_01,28
103,65.MOV,Ăn,person_01,31
104,66.MOV,Ăn,person_01,30
105,67.MOV,Ăn,person_01,24
106,68.MOV,Ăn,person_01,22
107,69.MOV,Ăn,person_01,32
108,70.MOV,Ăn,person_01,21
592,7912585060438.mp4,Ăn,person_01,31
593,7912585153724.mp4,Ăn,person_01,37
109,eat_001.MOV,Ăn,person_01,49
110,eat_002.MOV,Ăn,person_01,14
111,eat_003.MOV,Ăn,person_01,18
112,eat_004.MOV,Ăn,person_01,25
113,eat_005.MOV,Ăn,person_01,20
948,IMG_8016.MOV,Bạn bè,person_02,40
949,IMG_8017.MOV,Bạn bè,person_02,41
950,IMG_8018.MOV,Bạn bè,person_02,44
951,IMG_8019.MOV,Bạn bè,person_02,46
952,IMG_8020.MOV,Bạn bè,person_02,41
953,IMG_8021.MOV,Bạn bè,person_02,41
954,IMG_8022.MOV,Bạn bè,person_02,46
955,IMG_8023.MOV,Bạn bè,person_02,42
956,IMG_8024.MOV,Bạn bè,person_02,40
957,IMG_8025.MOV,Bạn bè,person_02,43
958,friend_001.mp4,Bạn bè,person_02,67
959,friend_002.mp4,Bạn bè,person_02,58
960,friend_003.MOV,Bạn bè,person_02,45
